"","DP","Drop","OverHead","LatencyAvg","Algorithm","NrOfNodes"
"35",0.3545,0.922646601233121,90.2333,1838.6935,"Epidemic",50
"36",0.3298,0.930612566815205,132.0919,1817.5968,"Epidemic",60
"37",0.3215,0.933852269698854,176.2432,1832.1113,"Epidemic",70
"38",0.2966,0.939292154297635,242.0144,1865.5078,"Epidemic",80
"39",0.2907,0.942162607824537,308.8363,1708.3607,"Epidemic",90
"40",0.2739,0.944247180019095,396.9444,1802.1391,"Epidemic",100
"41",0.1638,0.707042665108124,0.0104,899.329,"Blossom",10
"42",0.3116,0.508215810583517,0.011,1949.2866,"Blossom",20
"43",0.4105,0.398266313508307,0.0125,2880.533,"Blossom",30
"44",0.5014,0.314909171466549,0.0647,3739.7432,"Blossom",40
"45",0.6031,0.225779451768152,0.0378,3976.6583,"Blossom",50
"46",0.6522,0.193589998015479,0.0954,4563.5776,"Blossom",60
